word,girl,boy
इन्जिनियर,-0.063666716,0.01822856
शिक्षक,0.062904894,0.12389184
सेना,0.01866469,-0.023285942
डाक्टर,0.24972385,0.3320218
नर्स,0.30740944,0.16867839
सहायक,0.040908128,0.02519504
पाइलट,0.07162835,0.12521788
नेता,0.007850177,0.079154424
शासक,0.021102468,0.17371593
मालिक,0.23567347,0.33153087
संस्थापक,0.073543474,0.0058103525
प्रोग्रामर,-0.018613616,-0.003756868
डिजाइनर,0.2897109,0.12637332
विकासकर्ता,-0.094111696,-0.077337265
चित्रकार,0.18834507,0.19610186
विश्लेषक,-0.094892696,-0.0008710907
वैज्ञानिक,-0.114386715,-0.034633204
सीईओ,-0.019855563,-0.05171871
सिकर्मी,0.13544051,0.19106735
